date,title,release_date,platform,subsidiary,account,distributor,units_sold,weeks_before_launch,preorder_status
2023-05-13,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,GAME,U&I,15.0,34,Current
2023-05-20,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,GAME,U&I,15.0,33,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,GAME,U&I,15.0,32,Current
2023-06-03,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,GAME,U&I,15.0,31,Current
2023-03-11,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Smyths Toys,,15.0,43,Current
2023-03-18,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Smyths Toys,,15.0,42,Current
2023-03-25,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Smyths Toys,,15.0,41,Current
2023-04-01,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Smyths Toys,,15.0,40,Current
2023-04-08,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Smyths Toys,,15.0,39,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Amazon UK,,15.0,34,Current
2023-04-29,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Amazon UK,,17.0,36,Current
2023-03-25,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS5,US,Amazon US,,26.0,41,Current
2023-04-22,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Amazon UK,,16.0,37,Current
2023-04-15,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS5,US,Amazon US,,17.0,38,Current
2023-04-22,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS5,US,Amazon US,,15.0,37,Current
2023-04-29,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS5,US,Amazon US,,18.0,36,Current
2023-05-06,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS5,US,Amazon US,,16.0,35,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS5,US,Amazon US,,15.0,34,Current
2023-05-20,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS5,US,Amazon US,,15.0,33,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS5,US,Amazon US,,15.0,32,Current
2023-03-18,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,X1/XSX,US,Amazon US,,17.0,42,Current
2023-03-25,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,X1/XSX,US,Amazon US,,19.0,41,Current
2023-04-01,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,X1/XSX,US,Amazon US,,15.0,40,Current
2023-04-08,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,X1/XSX,US,Amazon US,,15.0,39,Current
2023-04-15,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,X1/XSX,US,Amazon US,,15.0,38,Current
2023-04-22,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,X1/XSX,US,Amazon US,,15.0,37,Current
2023-04-29,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,X1/XSX,US,Amazon US,,15.0,36,Current
2023-05-06,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,X1/XSX,US,Amazon US,,15.0,35,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,X1/XSX,US,Amazon US,,15.0,34,Current
2023-05-20,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,X1/XSX,US,Amazon US,,15.0,33,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,X1/XSX,US,Amazon US,,15.0,32,Current
2023-03-18,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Amazon UK,,18.0,42,Current
2023-03-25,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Amazon UK,,17.0,41,Current
2023-04-01,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Amazon UK,,16.0,40,Current
2023-04-15,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Amazon UK,,16.0,38,Current
2023-04-15,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Smyths Toys,,16.0,38,Current
2023-04-22,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Smyths Toys,,15.0,37,Current
2023-04-29,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Smyths Toys,,15.0,36,Current
2023-05-06,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Smyths Toys,,16.0,35,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Amazon UK,,20.0,32,Current
2023-04-22,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Argos Online,Centresoft,16.0,37,Current
2023-04-29,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Argos Online,Centresoft,15.0,36,Current
2023-05-06,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Argos Online,Centresoft,15.0,35,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Argos Online,Centresoft,15.0,34,Current
2023-05-20,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Argos Online,Centresoft,15.0,33,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Argos Online,Centresoft,15.0,32,Current
2023-06-03,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Argos Online,Centresoft,15.0,31,Current
2023-03-25,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,GAME,U&I,16.0,41,Current
2023-04-08,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,GAME,U&I,17.0,39,Current
2023-04-15,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,GAME,U&I,15.0,38,Current
2023-04-22,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,GAME,U&I,16.0,37,Current
2023-04-29,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,GAME,U&I,16.0,36,Current
2023-05-06,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,GAME,U&I,16.0,35,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,GAME,U&I,15.0,34,Current
2023-05-20,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,GAME,U&I,15.0,33,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,GAME,U&I,16.0,32,Current
2023-06-03,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,GAME,U&I,15.0,31,Current
2023-03-18,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,X1/XSX,UK/EU,Amazon UK,,16.0,42,Current
2023-03-25,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,X1/XSX,UK/EU,Amazon UK,,16.0,41,Current
2023-04-01,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,X1/XSX,UK/EU,Amazon UK,,17.0,40,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,X1/XSX,UK/EU,Amazon UK,,15.0,34,Current
2023-05-20,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Amazon UK,,19.0,33,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Amazon UK,,19.0,34,Current
2023-05-06,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Amazon UK,,19.0,35,Current
2023-04-29,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS4,UK/EU,GAME,U&I,15.0,36,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Smyths Toys,,16.0,34,Current
2023-05-20,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Smyths Toys,,15.0,33,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Smyths Toys,,16.0,32,Current
2023-03-25,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS4,UK/EU,Amazon UK,,16.0,41,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS4,UK/EU,Amazon UK,,16.0,34,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS4,UK/EU,Amazon UK,,16.0,32,Current
2023-03-25,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS4,UK/EU,GAME,U&I,16.0,41,Current
2023-04-08,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS4,UK/EU,GAME,U&I,15.0,39,Current
2023-04-15,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS4,UK/EU,GAME,U&I,15.0,38,Current
2023-04-22,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS4,UK/EU,GAME,U&I,15.0,37,Current
2023-05-06,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS4,UK/EU,GAME,U&I,15.0,35,Current
2023-04-29,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Amazon UK,,17.0,36,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS4,UK/EU,GAME,U&I,15.0,34,Current
2023-05-20,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS4,UK/EU,GAME,U&I,15.0,33,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS4,UK/EU,GAME,U&I,15.0,32,Current
2023-06-03,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS4,UK/EU,GAME,U&I,15.0,31,Current
2023-03-18,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Amazon UK,,22.0,42,Current
2023-03-25,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Amazon UK,,19.0,41,Current
2023-04-01,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Amazon UK,,21.0,40,Current
2023-04-08,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Amazon UK,,16.0,39,Current
2023-04-15,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Amazon UK,,21.0,38,Current
2023-04-22,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,UK/EU,Amazon UK,,17.0,37,Current
2023-04-01,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS5,US,Amazon US,,16.0,40,Current
2023-03-18,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS5,US,Amazon US,,38.0,42,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,XSX,UK/EU,Argos Online,Centresoft,15.0,34,Current
2023-05-06,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,16.0,35,Current
2023-04-22,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,15.0,37,Current
2023-04-15,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,15.0,38,Current
2023-04-08,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,17.0,39,Current
2023-04-01,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,18.0,40,Current
2023-03-11,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,18.0,43,Current
2023-03-04,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,17.0,44,Current
2023-02-25,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,19.0,45,Current
2023-02-18,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,17.0,46,Current
2023-02-11,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,15.0,47,Current
2023-02-04,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,17.0,48,Current
2023-01-28,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,17.0,49,Current
2023-01-21,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,17.0,50,Current
2023-01-14,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,20.0,51,Current
2023-01-07,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,29.0,52,Current
2022-12-31,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,15.0,53,Current
2023-03-18,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Best Buy,U&I,16.0,42,Current
2023-02-18,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Best Buy,U&I,16.0,46,Current
2023-01-21,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Best Buy,U&I,17.0,50,Current
2023-04-29,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,15.0,36,Current
2023-05-13,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,17.0,34,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS4,US,Amazon US,,15.0,32,Current
2023-05-20,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,17.0,33,Current
2023-05-06,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,15.0,35,Current
2023-04-29,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,15.0,36,Current
2023-04-15,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,18.0,38,Current
2023-04-08,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,17.0,39,Current
2023-04-01,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,16.0,40,Current
2023-03-25,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,17.0,41,Current
2023-03-18,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,15.0,42,Current
2023-03-11,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,16.0,43,Current
2023-03-04,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,19.0,44,Current
2023-02-25,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,16.0,45,Current
2023-02-18,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,17.0,46,Current
2023-02-11,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,15.0,47,Current
2023-02-04,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,18.0,48,Current
2023-01-28,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,15.0,49,Current
2023-01-21,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,18.0,50,Current
2023-01-14,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,17.0,51,Current
2023-01-07,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,15.0,52,Current
2022-12-31,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,15.0,53,Current
2022-12-24,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,18.0,54,Current
2022-12-17,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,15.0,55,Current
2023-06-03,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,18.0,31,Current
2023-05-27,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,GameStop,U&I,15.0,32,Current
2023-05-27,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,16.0,32,Current
2023-05-20,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,15.0,33,Current
2023-05-13,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,18.0,34,Current
2023-06-03,Flashback 2,2023-12-31,XSX,UK/EU,GAME,U&I,15.0,31,Current
2023-03-18,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,Nintendo Switch,US,Amazon US,,30.0,42,Current
2023-03-25,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,Nintendo Switch,US,Amazon US,,28.0,41,Current
2023-04-01,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,Nintendo Switch,US,Amazon US,,23.0,40,Current
2023-04-08,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,Nintendo Switch,US,Amazon US,,16.0,39,Current
2023-04-15,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,Nintendo Switch,US,Amazon US,,19.0,38,Current
2023-04-22,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,Nintendo Switch,US,Amazon US,,15.0,37,Current
2023-04-29,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,Nintendo Switch,US,Amazon US,,15.0,36,Current
2023-06-03,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,XSX,US,Target.com,U&I,15.0,31,Current
2023-05-06,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,Nintendo Switch,US,Amazon US,,17.0,35,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,Nintendo Switch,US,Amazon US,,18.0,34,Current
2023-05-20,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,Nintendo Switch,US,Amazon US,,16.0,33,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,Nintendo Switch,US,Amazon US,,22.0,32,Current
2023-03-18,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS4,US,Amazon US,,22.0,42,Current
2023-03-25,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS4,US,Amazon US,,17.0,41,Current
2023-04-08,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS4,US,Amazon US,,16.0,39,Current
2023-04-15,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS4,US,Amazon US,,16.0,38,Current
2023-04-22,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS4,US,Amazon US,,15.0,37,Current
2023-04-29,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS4,US,Amazon US,,15.0,36,Current
2023-05-06,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS4,US,Amazon US,,15.0,35,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS4,US,Amazon US,,15.0,34,Current
2023-05-20,Tintin Reporter: Cigars of the Pharaoh,2023-12-31,PS4,US,Amazon US,,15.0,33,Current
2023-05-27,Flashback 2,2023-12-31,XSX,UK/EU,GAME,U&I,16.0,32,Current
2023-05-20,Flashback 2,2023-12-31,XSX,UK/EU,GAME,U&I,15.0,33,Current
2023-05-13,Flashback 2,2023-12-31,XSX,UK/EU,GAME,U&I,15.0,34,Current
2023-02-18,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,17.0,46,Current
2023-04-29,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,16.0,36,Current
2023-04-22,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,15.0,37,Current
2023-04-15,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,16.0,38,Current
2023-04-08,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,15.0,39,Current
2023-04-01,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,15.0,40,Current
2023-03-25,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,15.0,41,Current
2023-03-18,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,16.0,42,Current
2023-03-11,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,17.0,43,Current
2023-02-25,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,16.0,45,Current
2023-02-11,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,15.0,47,Current
2023-05-06,Flashback 2,2023-12-31,XSX,UK/EU,GAME,U&I,15.0,35,Current
2023-02-04,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,17.0,48,Current
2023-01-21,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,18.0,50,Current
2023-01-14,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,15.0,51,Current
2023-01-07,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,16.0,52,Current
2022-12-31,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,25.0,53,Current
2022-12-24,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,21.0,54,Current
2022-12-17,Windstorm: An Unexpected Arrival,2023-12-31,Nintendo Switch,US,Amazon US,,20.0,55,Current
2022-12-24,Five Nights at Freddy's: Security Breach,2023-12-31,X1,US,Best Buy-VDF CA,Solutions 2 Go,16.0,54,Current
2023-04-29,Flashback 2,2023-12-31,XSX,UK/EU,GAME,U&I,17.0,36,Current
2023-05-06,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,XSX,UK/EU,Argos Online,Centresoft,16.0,35,Current
2023-05-20,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,XSX,UK/EU,Argos Online,Centresoft,15.0,33,Current
2023-06-03,Windstorm: An Unexpected Arrival,2023-12-31,PS4,US,Target.com,U&I,15.0,31,Current
2023-05-06,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,US,GameStop,U&I,15.0,35,Current
2023-05-20,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,US,GameStop,U&I,18.0,33,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,US,GameStop,U&I,15.0,32,Current
2023-06-03,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,US,GameStop,U&I,17.0,31,Current
2023-04-01,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,US,Gamestop Canada,Solutions 2 Go,20.0,40,Current
2023-04-08,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,US,Gamestop Canada,Solutions 2 Go,23.0,39,Current
2023-04-15,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,US,Gamestop Canada,Solutions 2 Go,22.0,38,Current
2023-04-22,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,PS5,US,Gamestop Canada,Solutions 2 Go,19.0,37,Current
